"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X357","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",57
"X158","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",58
"X358","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",58
"X159","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",59
"X359","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",59
"X160","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",60
"X360","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",60
"X161","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",61
"X361","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",61
"X162","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",62
"X362","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",62
"X163","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",63
"X363","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",63
"X164","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",64
"X364","EvertonEVE","0","0","2","0","2","0","0","7","0","206","1","4","0","0","47%",64
"X165","Manchester UnitedMUN","1","1","6","3","0","0","0","21","2","253","0","9","0","0","53%",65
"X365","EvertonEVE","0","0","2","0","2","0","0","7","0","208","1","4","0","0","47%",65
"X166","Manchester UnitedMUN","1","1","6","3","1","0","0","21","2","261","0","10","0","0","52%",66
"X366","EvertonEVE","0","0","3","1","2","0","0","7","0","217","1","5","0","0","48%",66
"X167","Manchester UnitedMUN","1","1","6","3","1","0","0","21","2","261","0","10","0","0","52%",67
"X367","EvertonEVE","0","0","3","1","2","0","0","7","0","217","1","5","0","0","48%",67
"X168","Manchester UnitedMUN","1","1","6","3","1","0","0","21","2","267","0","10","0","0","52%",68
"X368","EvertonEVE","0","0","3","1","2","0","0","7","0","226","1","5","0","0","48%",68
"X169","Manchester UnitedMUN","1","1","6","3","1","0","0","21","2","257","0","9","0","0","53%",69
"X369","EvertonEVE","0","0","3","1","2","0","0","7","0","216","1","5","0","0","47%",69
"X170","Manchester UnitedMUN","1","1","7","3","1","0","0","21","2","271","0","10","0","0","52%",70
"X370","EvertonEVE","0","0","3","1","2","0","0","7","0","239","1","6","0","0","48%",70
"X171","Manchester UnitedMUN","1","1","7","3","1","0","0","22","2","287","0","10","0","0","53%",71
"X371","EvertonEVE","0","0","3","1","2","0","0","7","0","240","1","6","0","0","47%",71
"X172","Manchester UnitedMUN","1","1","7","3","1","0","0","23","2","289","0","10","0","0","53%",72
"X372","EvertonEVE","0","0","3","1","2","0","0","7","0","240","1","6","0","0","47%",72
"X173","Manchester UnitedMUN","1","1","7","3","1","0","0","21","2","271","0","10","0","0","52%",73
"X373","EvertonEVE","0","0","3","1","2","0","0","7","0","239","1","6","0","0","48%",73
"X174","Manchester UnitedMUN","1","1","7","3","1","0","0","21","2","271","0","10","0","0","52%",74
"X374","EvertonEVE","0","0","3","1","2","0","0","7","0","239","1","6","0","0","48%",74
"X175","Manchester UnitedMUN","1","1","7","3","1","0","0","23","2","301","0","10","0","0","52%",75
"X375","EvertonEVE","0","0","3","1","2","0","0","7","0","260","2","7","0","0","48%",75
"X176","Manchester UnitedMUN","1","1","7","3","1","0","0","23","2","301","0","10","0","0","52%",76
"X376","EvertonEVE","0","0","3","1","2","0","0","7","0","260","2","7","0","0","48%",76
"X177","Manchester UnitedMUN","1","1","7","3","1","0","0","23","2","305","0","10","0","0","52%",77
"X377","EvertonEVE","0","0","3","1","2","0","0","8","0","271","2","7","0","0","48%",77
"X178","Manchester UnitedMUN","1","1","7","3","1","0","0","23","2","306","0","10","0","0","51%",78
"X378","EvertonEVE","0","0","3","1","2","0","0","8","0","278","2","7","0","0","49%",78
"X179","Manchester UnitedMUN","1","1","7","3","1","0","0","23","2","307","0","10","0","0","51%",79
"X379","EvertonEVE","0","0","4","1","2","0","0","9","0","281","2","7","0","0","49%",79
"X180","Manchester UnitedMUN","1","1","7","3","1","0","0","23","2","306","0","10","0","0","51%",80
"X380","EvertonEVE","0","0","3","1","2","0","0","8","0","278","2","7","0","0","49%",80
"X181","Manchester UnitedMUN","1","1","7","3","2","0","0","23","2","315","0","10","0","0","51%",81
"X381","EvertonEVE","0","0","5","2","2","0","0","9","0","291","2","8","1","0","49%",81
"X182","Manchester UnitedMUN","1","1","7","3","2","0","0","23","3","315","0","11","0","0","51%",82
"X382","EvertonEVE","0","0","4","2","2","0","0","9","0","291","2","8","1","0","49%",82
"X183","Manchester UnitedMUN","1","1","8","3","2","0","0","24","3","316","0","11","0","0","51%",83
"X383","EvertonEVE","0","0","4","2","2","0","0","9","0","297","2","8","1","0","49%",83
"X184","Manchester UnitedMUN","1","1","8","3","2","0","0","24","3","317","0","12","0","0","50%",84
"X384","EvertonEVE","0","0","4","2","2","0","0","9","0","307","2","8","1","0","50%",84
"X185","Manchester UnitedMUN","1","1","8","3","2","0","0","24","3","317","0","12","0","0","50%",85
"X385","EvertonEVE","0","0","4","2","2","0","0","9","0","307","2","8","1","0","50%",85
"X186","Manchester UnitedMUN","1","1","8","3","2","0","0","24","3","320","0","12","0","0","50%",86
"X386","EvertonEVE","0","0","4","2","2","0","0","10","0","327","2","9","1","0","50%",86
"X187","Manchester UnitedMUN","1","1","8","3","2","0","0","24","3","320","0","12","0","0","50%",87
"X387","EvertonEVE","0","0","4","2","2","0","0","10","0","327","2","9","1","0","50%",87
"X188","Manchester UnitedMUN","1","1","9","3","2","0","0","25","3","325","0","13","0","0","50%",88
"X388","EvertonEVE","0","0","4","2","2","0","0","10","0","327","2","9","1","0","50%",88
"X189","Manchester UnitedMUN","1","1","9","3","2","0","0","25","3","329","0","13","0","0","49%",89
"X389","EvertonEVE","0","0","4","2","2","0","0","10","0","337","2","10","1","0","51%",89
"X190","Manchester UnitedMUN","1","1","9","3","2","0","0","26","3","329","0","13","0","0","50%",90
"X390","EvertonEVE","0","0","4","2","2","0","0","10","0","337","2","10","1","0","50%",90
"X191","Manchester UnitedMUN","1","1","9","3","2","0","0","26","3","336","0","13","0","0","50%",91
"X391","EvertonEVE","0","0","5","2","2","0","0","11","0","348","2","10","1","0","50%",91
"X192","Manchester UnitedMUN","1","1","9","3","2","0","0","26","4","338","0","13","0","0","50%",92
"X392","EvertonEVE","0","0","5","2","2","0","0","11","0","349","2","10","1","0","50%",92
"X193","Manchester UnitedMUN","1","1","9","3","2","0","0","26","3","336","0","13","0","0","50%",93
"X393","EvertonEVE","0","0","5","2","2","0","0","11","0","348","2","10","1","0","50%",93
"X194","Manchester UnitedMUN","1","1","11","3","2","0","0","28","4","347","0","13","0","0","50%",94
"X394","EvertonEVE","0","0","5","2","2","0","0","11","0","351","2","10","1","0","50%",94
"X195","Manchester UnitedMUN","1","1","11","3","2","0","0","28","4","347","0","13","0","0","50%",95
"X395","EvertonEVE","0","0","5","2","2","0","0","11","0","351","2","10","1","0","50%",95
"X196","Manchester UnitedMUN","1","1","12","4","2","0","0","29","4","362","1","13","0","0","51%",96
"X396","EvertonEVE","0","0","5","2","3","0","0","11","0","358","2","10","1","0","49%",96
"X197","Manchester UnitedMUN","1","1","12","4","2","0","0","29","4","362","1","13","0","0","51%",97
"X397","EvertonEVE","0","0","5","2","3","0","0","11","0","358","2","10","1","0","49%",97
"X198","Manchester UnitedMUN","1","1","12","4","2","0","0","29","4","379","2","13","0","0","51%",98
"X398","EvertonEVE","0","0","5","2","3","0","0","11","0","367","2","11","1","0","49%",98
"X199","Manchester UnitedMUN","1","1","12","4","2","0","0","30","4","381","2","14","1","0","51%",99
"X399","EvertonEVE","0","0","5","2","3","0","0","11","0","369","2","11","1","0","49%",99
"X1100","Manchester UnitedMUN","2","1","13","5","2","0","0","30","4","386","2","14","1","0","51%",100
"X3100","EvertonEVE","0","0","5","2","3","0","0","11","0","374","2","11","1","0","49%",100
"X1101","Manchester UnitedMUN","2","1","13","5","2","0","0","30","4","389","1","15","1","0","51%",101
"X3101","EvertonEVE","0","0","5","2","3","0","0","11","0","382","2","11","1","0","49%",101
"X1102","Manchester UnitedMUN","1","1","12","4","2","0","0","29","4","366","1","13","0","0","51%",102
"X3102","EvertonEVE","0","0","5","2","3","0","0","11","0","362","2","10","1","0","49%",102
"X1103","Manchester UnitedMUN","2","1","13","5","2","0","0","30","4","392","1","15","1","0","51%",103
"X3103","EvertonEVE","0","0","5","2","3","0","0","11","0","381","2","12","1","0","49%",103
"X1104","Manchester UnitedMUN","2","2","13","5","2","0","0","30","4","396","1","15","1","0","51%",104
"X3104","EvertonEVE","0","0","5","2","3","0","0","11","0","382","3","12","1","0","49%",104
"X1105","Manchester UnitedMUN","2","2","13","5","2","0","0","31","4","406","2","15","1","0","50%",105
"X3105","EvertonEVE","0","0","5","2","3","0","0","11","0","400","3","13","1","0","50%",105
"X1106","Manchester UnitedMUN","2","2","13","5","2","0","0","31","4","404","2","15","1","0","51%",106
"X3106","EvertonEVE","0","0","5","2","3","0","0","11","0","389","3","12","1","0","49%",106
"X1107","Manchester UnitedMUN","3","2","16","6","3","0","0","31","4","409","2","15","1","0","50%",107
"X3107","EvertonEVE","0","0","5","2","3","0","0","12","1","407","3","13","1","0","50%",107
"X1108","Manchester UnitedMUN","3","3","15","6","3","0","0","32","4","409","2","15","1","0","50%",108
"X3108","EvertonEVE","0","0","5","2","3","0","0","12","1","407","3","14","1","0","50%",108
