"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X171","ChelseaCHE","0","0","9","3","2","0","0","13","2","312","4","4","1","0","55%",71
"X371","ArsenalARS","0","0","10","2","3","0","0","5","1","291","1","9","0","0","45%",71
"X172","ChelseaCHE","0","0","9","3","2","0","0","13","2","323","4","5","2","0","56%",72
"X372","ArsenalARS","0","0","10","2","3","0","0","5","1","291","1","9","0","0","44%",72
"X173","ChelseaCHE","0","0","9","3","2","0","0","13","2","327","4","6","2","0","56%",73
"X373","ArsenalARS","0","0","10","2","3","0","0","5","1","292","1","9","0","0","44%",73
"X174","ChelseaCHE","0","0","9","3","2","0","0","13","2","334","4","6","2","0","56%",74
"X374","ArsenalARS","0","0","10","2","3","0","0","5","1","294","1","9","0","0","44%",74
"X175","ChelseaCHE","0","0","9","3","2","0","0","13","2","337","4","6","2","0","56%",75
"X375","ArsenalARS","0","0","10","2","3","0","0","5","1","298","1","9","0","0","44%",75
"X176","ChelseaCHE","0","0","9","3","2","0","0","13","2","337","4","6","2","0","55%",76
"X376","ArsenalARS","0","0","10","2","3","0","0","5","1","301","1","9","0","0","45%",76
"X177","ChelseaCHE","0","0","9","3","2","0","0","13","2","340","4","6","2","0","55%",77
"X377","ArsenalARS","0","0","10","2","3","0","0","5","1","307","1","9","0","0","45%",77
"X178","ChelseaCHE","0","0","9","3","2","0","0","13","2","340","4","6","2","0","55%",78
"X378","ArsenalARS","0","0","10","2","3","0","0","5","1","307","1","9","0","0","45%",78
"X179","ChelseaCHE","0","0","9","3","2","0","0","13","2","340","4","6","2","0","55%",79
"X379","ArsenalARS","0","0","10","2","3","0","0","5","1","307","1","9","0","0","45%",79
"X180","ChelseaCHE","0","0","9","3","2","0","0","13","2","340","4","6","2","0","55%",80
"X380","ArsenalARS","0","0","10","2","3","0","0","5","1","307","1","9","0","0","45%",80
"X181","ChelseaCHE","0","0","9","3","2","0","0","13","2","344","4","7","2","0","55%",81
"X381","ArsenalARS","0","0","10","2","3","0","0","5","1","310","1","9","0","0","45%",81
"X182","ChelseaCHE","0","0","9","3","2","0","0","13","2","344","4","7","2","0","55%",82
"X382","ArsenalARS","0","0","10","2","3","0","0","5","1","310","1","9","0","0","45%",82
"X183","ChelseaCHE","0","0","9","3","2","0","0","13","2","346","4","8","2","0","55%",83
"X383","ArsenalARS","0","0","11","3","3","0","0","5","1","321","1","9","0","0","45%",83
"X184","ChelseaCHE","0","0","9","3","2","0","0","13","2","346","4","8","2","0","55%",84
"X384","ArsenalARS","0","0","11","3","3","0","0","5","1","321","1","9","0","0","45%",84
"X185","ChelseaCHE","0","0","9","3","2","0","0","13","2","346","4","8","2","0","55%",85
"X385","ArsenalARS","0","0","11","3","3","0","0","5","1","321","1","9","0","0","45%",85
"X186","ChelseaCHE","0","0","9","3","2","0","0","16","3","354","4","8","2","0","55%",86
"X386","ArsenalARS","0","0","10","2","3","0","0","6","1","326","2","10","0","0","45%",86
"X187","ChelseaCHE","0","0","9","3","2","0","0","16","3","354","4","8","2","0","55%",87
"X387","ArsenalARS","0","0","10","2","3","0","0","6","1","326","2","10","0","0","45%",87
"X188","ChelseaCHE","0","0","10","4","2","0","0","16","3","364","4","8","2","0","55%",88
"X388","ArsenalARS","0","0","10","2","3","0","0","6","1","335","2","11","0","0","45%",88
"X189","ChelseaCHE","0","0","11","4","2","0","0","16","3","374","4","8","2","0","55%",89
"X389","ArsenalARS","0","0","10","2","4","0","0","7","1","346","2","11","0","0","45%",89
"X190","ChelseaCHE","0","0","11","4","2","0","0","16","3","371","4","8","2","0","55%",90
"X390","ArsenalARS","0","0","10","2","4","0","0","6","1","341","2","11","0","0","45%",90
"X191","ChelseaCHE","0","0","11","4","2","0","0","16","3","385","4","9","2","0","55%",91
"X391","ArsenalARS","0","0","10","2","4","0","0","9","1","355","2","11","0","0","45%",91
"X192","ChelseaCHE","0","0","12","4","2","0","0","16","3","394","4","9","2","0","55%",92
"X392","ArsenalARS","0","0","10","2","4","0","0","9","1","367","2","12","1","0","45%",92
"X193","ChelseaCHE","0","0","12","4","2","0","0","16","5","399","4","9","2","0","55%",93
"X393","ArsenalARS","0","0","10","2","4","0","0","9","1","369","2","12","1","0","45%",93
"X194","ChelseaCHE","0","0","12","4","2","0","0","16","4","395","4","9","2","0","55%",94
"X394","ArsenalARS","0","0","10","2","4","0","0","9","1","369","2","12","1","0","45%",94
"X195","ChelseaCHE","0","0","12","4","2","0","0","19","5","402","4","10","2","1","55%",95
"X395","ArsenalARS","0","0","10","2","4","0","0","9","1","370","2","12","1","0","45%",95
"X196","ChelseaCHE","0","0","12","4","2","0","0","19","5","403","4","10","2","1","56%",96
"X396","ArsenalARS","0","0","10","2","4","0","0","9","1","370","2","12","1","0","44%",96
"X197","ChelseaCHE","0","0","13","4","2","0","0","20","5","407","4","11","2","1","55%",97
"X397","ArsenalARS","0","0","10","2","4","0","0","9","1","373","2","12","1","0","45%",97
"X198","ChelseaCHE","0","0","13","4","2","0","0","20","5","408","4","11","2","1","55%",98
"X398","ArsenalARS","0","0","11","2","4","0","0","9","1","382","2","14","2","0","45%",98
"X199","ChelseaCHE","0","0","13","4","2","0","0","20","5","411","4","11","2","1","55%",99
"X399","ArsenalARS","0","0","11","2","4","0","0","10","1","382","2","14","2","0","45%",99
"X1100","ChelseaCHE","0","0","13","4","2","0","0","21","5","412","4","11","2","1","55%",100
"X3100","ArsenalARS","0","0","11","2","4","0","0","10","1","388","2","15","3","0","45%",100
