"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"45","WAT",2,0,11,3,5,1,1,31,2,383,1,8,1,0,0.51,"20171014","ARS",1,"WATvARS20171014","home",1,3,0.181818181818182,0.666666666666667,2,191.5,8,Inf,1,2,"WAT-2","ARS-2",6,3,4,4,2,-2,1,1,-0.666666666666667,3,NA,NA,16,NA,NA
"46","ARS",1,1,9,6,1,0,0,18,5,460,0,10,0,0,0.49,"20171014","WAT",2,"WATvARS20171014","away",0,0,0.111111111111111,0.166666666666667,0,460,Inf,Inf,-1,3,"ARS-3","WAT-3",6,4,6,4,6,2,1,1,Inf,3,3,NA,8,18,NA
"47","BHA",1,1,12,3,5,0,0,30,7,298,5,12,4,0,0.49,"20171015","EVE",1,"BHAvEVE20171015","home",0,1,0.0833333333333333,0.333333333333333,0,298,3,Inf,0,4,"BHA-4","EVE-4",4,-1,5,13,20,7,0,0,7,0,0,3,4,12,15
"48","EVE",1,0,13,6,2,1,1,20,1,370,1,10,1,0,0.51,"20171015","BHA",1,"BHAvEVE20171015","away",0,1,0.0769230769230769,0.166666666666667,1,370,10,Inf,0,3,"EVE-3","BHA-3",1,-4,1,19,12,-7,0,0,-7,0,0,NA,6,3,NA
"49","SOU",2,1,12,2,2,1,1,24,3,509,1,11,1,0,0.6,"20171015","NEW",2,"SOUvNEW20171015","home",0,1,0.166666666666667,1,1,254.5,11,Inf,0,3,"SOU-3","NEW-3",4,-1,3,9,7,-2,1,0,-2,3,0,NA,18,5,NA
"50","NEW",2,0,19,5,0,0,0,29,8,264,0,12,2,0,0.4,"20171015","SOU",2,"SOUvNEW20171015","away",0,1,0.105263157894737,0.4,2,132,6,Inf,0,3,"NEW-3","SOU-3",5,1,4,7,9,2,1,0,2,1,3,NA,17,14,NA
"51","LEI",1,1,11,3,0,0,0,35,4,386,1,13,2,0,0.55,"20171016","WBA",1,"LEIvWBA20171016","home",0,1,0.0909090909090909,0.333333333333333,0,386,6.5,Inf,0,2,"LEI-2","WBA-2",1,-1,2,14,15,1,1,0,1,0,NA,NA,7,NA,NA
"52","WBA",1,0,5,1,2,0,0,14,1,276,1,6,2,0,0.45,"20171016","LEI",1,"LEIvWBA20171016","away",0,1,0.2,1,1,276,3,Inf,0,2,"WBA-2","LEI-2",1,-2,2,15,14,-1,1,0,-1,0,NA,NA,4,NA,NA
"53","WHU",0,0,16,2,2,0,0,46,10,547,3,5,1,0,0.65,"20171020","BHA",3,"WHUvBHA20171020","home",0,0,0,0,0,Inf,5,Inf,-3,3,"WHU-3","BHA-3",4,-1,3,10,12,2,1,0,Inf,1,3,NA,6,17,NA
"54","BHA",3,2,7,5,2,1,1,10,3,254,1,13,0,0,0.35,"20171020","WHU",0,"WHUvBHA20171020","away",1,3,0.428571428571429,0.6,1,84.6666666666667,Inf,Inf,3,5,"BHA-5","WHU-5",7,2,8,9,14,5,0,0,1.66666666666667,1,0,0,20,4,12
"55","CHE",4,3,14,8,3,0,0,19,6,387,6,13,2,0,0.54,"20171021","WAT",2,"CHEvWAT20171021","home",1,3,0.285714285714286,0.5,1,96.75,6.5,Inf,2,3,"CHE-3","WAT-3",6,2,7,5,6,1,1,1,0.333333333333333,0,3,NA,18,12,NA
"56","WAT",2,1,16,5,4,0,0,30,6,332,3,16,3,0,0.46,"20171021","CHE",4,"CHEvWAT20171021","away",0,0,0.125,0.4,1,166,5.33333333333333,Inf,-2,3,"WAT-3","CHE-3",6,1,6,6,5,-1,1,1,-Inf,3,3,NA,2,16,NA
"57","MCI",3,2,15,10,0,1,1,25,4,764,1,10,2,0,0.72,"20171021","BUR",0,"MCIvBUR20171021","home",1,3,0.2,0.3,1,254.666666666667,5,Inf,3,3,"MCI-3","BUR-3",9,13,15,1,3,2,1,1,0.666666666666667,3,3,NA,16,20,NA
"58","BUR",0,0,6,0,7,0,0,15,5,167,2,6,3,0,0.28,"20171021","MCI",3,"MCIvBUR20171021","away",0,0,0,NA,0,Inf,2,Inf,-3,5,"BUR-5","MCI-5",8,-1,4,8,1,-7,0,1,-Inf,1,3,1,12,19,17
"59","NEW",1,0,7,3,0,0,0,19,3,393,0,12,4,0,0.52,"20171021","CRY",0,"NEWvCRY20171021","home",1,3,0.142857142857143,0.333333333333333,1,393,3,Inf,1,4,"NEW-4","CRY-4",8,2,5,5,16,11,0,0,3.66666666666667,1,1,3,9,17,14
"60","CRY",0,0,10,0,2,0,0,25,5,298,1,14,2,0,0.48,"20171021","NEW",1,"NEWvCRY20171021","away",0,0,0,NA,0,Inf,7,Inf,-1,4,"CRY-4","NEW-4",3,-2,2,16,5,-11,0,1,-Inf,3,0,0,5,11,8
"61","STK",1,1,10,2,1,0,0,38,8,313,4,18,0,0,0.51,"20171021","BOU",2,"STKvBOU20171021","home",0,0,0.1,0.5,0,313,Inf,Inf,-1,3,"STK-3","BOU-3",1,-6,5,20,14,-6,0,0,-Inf,0,1,NA,1,11,NA
"62","BOU",2,1,7,3,1,1,1,13,3,288,1,10,1,0,0.49,"20171021","STK",1,"STKvBOU20171021","away",1,3,0.285714285714286,0.666666666666667,1,144,10,Inf,1,4,"BOU-4","STK-4",6,-2,4,10,14,4,0,0,1.33333333333333,0,3,0,2,8,2
"63","HUD",2,1,5,3,2,0,0,13,4,135,2,10,4,0,0.28,"20171021","MUN",1,"HUDvMUN20171021","home",1,3,0.4,0.666666666666667,1,67.5,2.5,Inf,1,3,"HUD-3","MUN-3",3,-3,2,15,16,1,1,0,0.333333333333333,0,0,NA,9,6,NA
"64","MUN",1,1,9,3,1,0,0,35,7,674,3,12,2,0,0.72,"20171021","HUD",2,"HUDvMUN20171021","away",0,0,0.111111111111111,0.333333333333333,0,674,6,Inf,-1,3,"MUN-3","HUD-3",2,-1,3,16,15,-1,1,0,-Inf,1,1,NA,17,10,NA
"65","SWA",1,1,19,4,5,0,0,39,7,418,0,6,0,0,0.58,"20171021","LEI",2,"SWAvLEI20171021","home",0,0,0.0526315789473684,0.25,0,418,Inf,Inf,-1,3,"SWA-3","LEI-3",3,0,3,11,8,-3,1,0,-Inf,3,0,NA,20,9,NA
"66","LEI",2,1,11,6,3,0,0,25,6,279,3,9,1,0,0.42,"20171021","SWA",1,"SWAvLEI20171021","away",1,3,0.181818181818182,0.333333333333333,1,139.5,9,Inf,1,3,"LEI-3","SWA-3",4,0,4,8,11,3,1,0,1,1,0,NA,15,7,NA
"67","SOU",1,0,20,6,2,0,0,35,8,508,2,10,0,0,0.65,"20171021","WBA",0,"SOUvWBA20171021","home",1,3,0.05,0.166666666666667,1,508,Inf,Inf,1,4,"SOU-4","WBA-4",7,0,4,8,19,11,0,0,3.66666666666667,1,3,0,7,18,5
