"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GameID","home_away"
"X372","BOU","0","0","5","1","5","0","0","14","5","186","1","7","3","0","31%","20171014","TOT","TOTvBOU20171014","away"
"X173","WAT","2","0","11","3","5","1","1","31","2","383","1","8","1","0","51%","20171014","ARS","WATvARS20171014","home"
"X373","ARS","1","1","9","6","1","0","0","18","5","460","0","10","0","0","49%","20171014","WAT","WATvARS20171014","away"
"X174","BHA","1","1","12","3","5","0","0","30","7","298","5","12","4","0","49%","20171015","EVE","BHAvEVE20171015","home"
"X374","EVE","1","0","13","6","2","1","1","20","1","370","1","10","1","0","51%","20171015","BHA","BHAvEVE20171015","away"
"X175","SOU","2","1","12","2","2","1","1","24","3","509","1","11","1","0","60%","20171015","NEW","SOUvNEW20171015","home"
"X375","NEW","2","0","19","5","0","0","0","29","8","264","0","12","2","0","40%","20171015","SOU","SOUvNEW20171015","away"
"X176","LEI","1","1","11","3","0","0","0","35","4","386","1","13","2","0","55%","20171016","WBA","LEIvWBA20171016","home"
"X376","WBA","1","0","5","1","2","0","0","14","1","276","1","6","2","0","45%","20171016","LEI","LEIvWBA20171016","away"
"X177","WHU","0","0","16","2","2","0","0","46","10","547","3","5","1","0","65%","20171020","BHA","WHUvBHA20171020","home"
"X377","BHA","3","2","7","5","2","1","1","10","3","254","1","13","0","0","35%","20171020","WHU","WHUvBHA20171020","away"
"X178","CHE","4","3","14","8","3","0","0","19","6","387","6","13","2","0","54%","20171021","WAT","CHEvWAT20171021","home"
"X378","WAT","2","1","16","5","4","0","0","30","6","332","3","16","3","0","46%","20171021","CHE","CHEvWAT20171021","away"
"X179","HUD","2","1","5","3","2","0","0","13","4","135","2","10","4","0","28%","20171021","MUN","HUDvMUN20171021","home"
"X379","MUN","1","1","9","3","1","0","0","35","7","674","3","12","2","0","72%","20171021","HUD","HUDvMUN20171021","away"
"X180","MCI","3","2","15","10","0","1","1","25","4","764","1","10","2","0","72%","20171021","BUR","MCIvBUR20171021","home"
"X380","BUR","0","0","6","0","7","0","0","15","5","167","2","6","3","0","28%","20171021","MCI","MCIvBUR20171021","away"
"X181","NEW","1","0","7","3","0","0","0","19","3","393","0","12","4","0","52%","20171021","CRY","NEWvCRY20171021","home"
"X381","CRY","0","0","10","0","2","0","0","25","5","298","1","14","2","0","48%","20171021","NEW","NEWvCRY20171021","away"
"X182","SOU","1","0","20","6","2","0","0","35","8","508","2","10","0","0","65%","20171021","WBA","SOUvWBA20171021","home"
"X382","WBA","0","0","7","2","5","0","0","16","3","210","1","8","1","0","35%","20171021","SOU","SOUvWBA20171021","away"
"X183","STK","1","1","10","2","1","0","0","38","8","313","4","18","0","0","51%","20171021","BOU","STKvBOU20171021","home"
"X383","BOU","2","1","7","3","1","1","1","13","3","288","1","10","1","0","49%","20171021","STK","STKvBOU20171021","away"
"X184","SWA","1","1","19","4","5","0","0","39","7","418","0","6","0","0","58%","20171021","LEI","SWAvLEI20171021","home"
"X384","LEI","2","1","11","6","3","0","0","25","6","279","3","9","1","0","42%","20171021","SWA","SWAvLEI20171021","away"
"X185","EVE","2","0","8","3","9","0","0","16","0","214","2","14","1","1","39%","20171022","ARS","EVEvARS20171022","home"
"X385","ARS","5","4","30","14","1","0","0","25","7","534","1","14","1","0","61%","20171022","EVE","EVEvARS20171022","away"
"X186","TOT","4","2","14","6","6","0","0","12","3","299","1","2","0","0","38%","20171022","LIV","TOTvLIV20171022","home"
"X386","LIV","1","1","12","7","1","0","0","33","5","563","2","8","1","0","62%","20171022","TOT","TOTvLIV20171022","away"
"X187","CHE","2","2","19","6","2","0","0","35","8","472","2","16","3","2","60%","20170812","BUR","CHEvBUR20170812","home"
"X387","BUR","3","3","10","5","4","0","0","17","5","260","1","11","3","0","40%","20170812","CHE","CHEvBUR20170812","away"
"X188","SOU","3","1","14","5","6","2","2","28","7","497","1","18","1","0","62%","20170819","WHU","SOUvWHU20170819","home"
"X388","WHU","2","0","16","8","2","0","0","17","2","201","0","10","1","1","38%","20170819","SOU","SOUvWHU20170819","away"
"X189","CHE","2","2","18","7","0","0","0","21","6","512","0","12","2","0","56%","20170827","EVE","CHEvEVE20170827","home"
"X389","EVE","0","0","7","0","5","0","0","15","3","368","0","7","2","0","44%","20170827","CHE","CHEvEVE20170827","away"
