"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","points_earned","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card"
"X149","LEI",2,1,12,7,3,0,1,27,3,266,4,13,3,0,0.47,"20170923","LIV",3,"LEIvLIV20170923","home",0,0,0.166666666666667,0.285714285714286,1,133,4.33333333333333,Inf
"X349","LIV",3,2,23,6,5,0,0,18,6,365,1,14,3,0,0.53,"20170923","LEI",2,"LEIvLIV20170923","away",1,3,0.130434782608696,0.5,1,121.666666666667,4.66666666666667,Inf
"X150","MCI",5,5,25,9,0,0,0,41,8,682,0,6,3,0,0.7,"20170923","CRY",0,"MCIvCRY20170923","home",1,3,0.2,0.555555555555556,0,136.4,2,Inf
"X350","CRY",0,0,5,0,4,0,0,12,2,224,1,7,1,0,0.3,"20170923","MCI",5,"MCIvCRY20170923","away",0,0,0,NA,0,Inf,7,Inf
"X151","SOU",0,0,14,4,3,0,0,31,8,472,3,11,1,0,0.6,"20170923","MUN",1,"SOUvMUN20170923","home",0,0,0,0,0,Inf,11,Inf
"X351","MUN",1,0,9,4,3,0,0,11,4,303,2,10,4,0,0.4,"20170923","SOU",0,"SOUvMUN20170923","away",1,3,0.111111111111111,0.25,1,303,2.5,Inf
"X152","STK",0,0,13,2,0,0,0,32,5,348,0,5,2,0,0.46,"20170923","CHE",4,"STKvCHE20170923","home",0,0,0,0,0,Inf,2.5,Inf
"X352","CHE",4,3,7,4,2,0,0,5,0,466,1,14,2,0,0.54,"20170923","STK",0,"STKvCHE20170923","away",1,3,0.571428571428571,1,1,116.5,7,Inf
"X153","SWA",1,0,10,3,2,0,0,32,5,361,0,9,1,0,0.5,"20170923","WAT",2,"SWAvWAT20170923","home",0,0,0.1,0.333333333333333,1,361,9,Inf
"X353","WAT",2,1,8,4,2,0,0,19,4,358,3,16,3,0,0.5,"20170923","SWA",1,"SWAvWAT20170923","away",1,3,0.25,0.5,1,179,5.33333333333333,Inf
"X154","WHU",2,2,10,4,2,0,0,30,4,296,6,10,4,0,0.48,"20170923","TOT",3,"WHUvTOT20170923","home",0,0,0.2,0.5,0,148,2.5,Inf
"X354","TOT",3,1,15,5,2,0,0,18,3,332,5,20,2,1,0.52,"20170923","WHU",2,"WHUvTOT20170923","away",1,3,0.2,0.6,2,110.666666666667,10,20
"X155","BHA",1,1,7,3,5,0,0,30,2,354,1,6,2,0,0.5,"20170924","NEW",0,"BHAvNEW20170924","home",1,3,0.142857142857143,0.333333333333333,0,354,3,Inf
"X355","NEW",0,0,17,5,2,0,0,27,8,396,0,8,1,0,0.5,"20170924","BHA",1,"BHAvNEW20170924","away",0,0,0,0,0,Inf,8,Inf
"X156","ARS",2,0,16,6,2,1,1,22,7,558,0,8,1,0,0.65,"20170925","WBA",0,"ARSvWBA20170925","home",1,3,0.125,0.333333333333333,2,279,8,Inf
"X356","WBA",0,0,7,3,4,0,0,17,4,202,0,17,4,0,0.35,"20170925","ARS",2,"ARSvWBA20170925","away",0,0,0,0,0,Inf,4.25,Inf
"X157","BOU",0,0,19,4,1,0,0,33,7,445,1,6,1,0,0.64,"20170930","LEI",0,"BOUvLEI20170930","home",0,1,0,0,0,Inf,6,Inf
"X357","LEI",0,0,8,1,4,0,0,19,5,231,3,10,0,0,0.36,"20170930","BOU",0,"BOUvLEI20170930","away",0,1,0,0,0,Inf,Inf,Inf
"X158","CHE",0,0,4,2,4,0,0,15,4,347,8,8,0,0,0.4,"20170930","MCI",1,"CHEvMCI20170930","home",0,0,0,0,0,Inf,Inf,Inf
"X358","MCI",1,1,17,6,2,0,0,25,8,588,0,13,2,0,0.6,"20170930","CHE",0,"CHEvMCI20170930","away",1,3,0.0588235294117647,0.166666666666667,0,588,6.5,Inf
"X159","HUD",0,0,6,1,3,0,0,23,4,295,4,7,1,0,0.43,"20170930","TOT",4,"HUDvTOT20170930","home",0,0,0,0,0,Inf,7,Inf
"X359","TOT",4,3,14,7,1,0,0,24,7,485,2,4,1,0,0.57,"20170930","HUD",0,"HUDvTOT20170930","away",1,3,0.285714285714286,0.571428571428571,1,121.25,4,Inf
"X160","MUN",4,4,18,7,1,0,0,24,6,507,2,6,0,0,0.56,"20170930","CRY",0,"MUNvCRY20170930","home",1,3,0.222222222222222,0.571428571428571,0,126.75,Inf,Inf
"X360","CRY",0,0,6,1,3,0,0,28,5,326,1,9,0,0,0.44,"20170930","MUN",4,"MUNvCRY20170930","away",0,0,0,0,0,Inf,Inf,Inf
"X161","STK",2,2,17,6,2,0,1,17,5,184,1,11,1,0,0.33,"20170930","SOU",1,"STKvSOU20170930","home",1,3,0.117647058823529,0.333333333333333,0,92,11,Inf
"X361","SOU",1,1,21,3,4,0,0,26,6,558,3,10,2,0,0.67,"20170930","STK",2,"STKvSOU20170930","away",0,0,0.0476190476190476,0.333333333333333,0,558,5,Inf
"X162","WBA",2,1,9,4,1,0,0,21,7,210,1,12,3,0,0.4,"20170930","WAT",2,"WBAvWAT20170930","home",0,1,0.222222222222222,0.5,1,105,4,Inf
"X362","WAT",2,2,15,3,2,0,0,35,6,478,1,11,0,0,0.6,"20170930","WBA",2,"WBAvWAT20170930","away",0,1,0.133333333333333,0.666666666666667,0,239,Inf,Inf
"X163","WHU",1,1,9,4,1,0,0,28,2,321,1,15,3,0,0.47,"20170930","SWA",0,"WHUvSWA20170930","home",1,3,0.111111111111111,0.25,0,321,5,Inf
"X363","SWA",0,0,6,1,3,0,0,20,1,455,0,13,2,0,0.53,"20170930","WHU",1,"WHUvSWA20170930","away",0,0,0,0,0,Inf,6.5,Inf
"X164","ARS",2,1,25,11,1,0,0,19,6,631,2,7,0,0,0.61,"20171001","BHA",0,"ARSvBHA20171001","home",1,3,0.08,0.181818181818182,1,315.5,Inf,Inf
"X364","BHA",0,0,9,1,6,0,0,22,5,290,3,8,2,0,0.39,"20171001","ARS",2,"ARSvBHA20171001","away",0,0,0,0,0,Inf,4,Inf
"X165","EVE",0,0,23,4,1,0,0,42,9,412,1,14,2,0,0.58,"20171001","BUR",1,"EVEvBUR20171001","home",0,0,0,0,0,Inf,7,Inf
"X365","BUR",1,1,5,2,4,0,0,20,3,194,1,7,2,0,0.42,"20171001","EVE",0,"EVEvBUR20171001","away",1,3,0.2,0.5,0,194,3.5,Inf
"X166","NEW",1,0,8,5,1,0,0,10,1,210,1,11,1,0,0.35,"20171001","LIV",1,"NEWvLIV20171001","home",0,1,0.125,0.2,1,210,11,Inf
"X366","LIV",1,0,17,2,4,0,0,30,5,553,2,6,1,0,0.65,"20171001","NEW",1,"NEWvLIV20171001","away",0,1,0.0588235294117647,0.5,1,553,6,Inf
"X167","BUR",1,1,20,5,5,0,0,37,7,400,2,11,2,0,0.55,"20171014","WHU",1,"BURvWHU20171014","home",0,1,0.05,0.2,0,400,5.5,Inf
"X367","WHU",1,1,8,6,4,0,0,9,4,206,1,14,2,1,0.45,"20171014","BUR",1,"BURvWHU20171014","away",0,1,0.125,0.166666666666667,0,206,7,14
"X168","CRY",2,2,14,5,4,0,0,16,5,349,1,7,2,0,0.47,"20171014","CHE",1,"CRYvCHE20171014","home",1,3,0.142857142857143,0.4,0,174.5,3.5,Inf
"X368","CHE",1,1,15,5,4,0,0,24,8,480,6,6,1,0,0.53,"20171014","CRY",2,"CRYvCHE20171014","away",0,0,0.0666666666666667,0.2,0,480,6,Inf
"X169","LIV",0,0,19,5,1,0,0,34,7,540,3,7,0,0,0.59,"20171014","MUN",0,"LIVvMUN20171014","home",0,1,0,0,0,Inf,Inf,Inf
"X369","MUN",0,0,6,1,5,0,0,15,3,282,1,13,2,0,0.41,"20171014","LIV",0,"LIVvMUN20171014","away",0,1,0,0,0,Inf,6.5,Inf
"X170","MCI",7,7,20,11,0,0,0,32,5,834,2,5,0,0,0.72,"20171014","STK",2,"MCIvSTK20171014","home",1,3,0.35,0.636363636363636,0,119.142857142857,Inf,Inf
"X370","STK",2,1,5,1,4,0,0,2,0,166,1,8,1,0,0.28,"20171014","MCI",7,"MCIvSTK20171014","away",0,0,0.4,2,1,83,8,Inf
"X171","SWA",2,2,7,3,2,0,0,20,5,298,1,12,1,0,0.41,"20171014","HUD",0,"SWAvHUD20171014","home",1,3,0.285714285714286,0.666666666666667,0,149,12,Inf
"X371","HUD",0,0,7,2,1,0,0,23,3,463,0,16,5,0,0.59,"20171014","SWA",2,"SWAvHUD20171014","away",0,0,0,0,0,Inf,3.2,Inf
"X172","TOT",1,0,18,6,1,0,0,40,9,644,3,9,1,0,0.69,"20171014","BOU",0,"TOTvBOU20171014","home",1,3,0.0555555555555556,0.166666666666667,1,644,9,Inf
"X372","BOU",0,0,5,1,5,0,0,14,5,186,1,7,3,0,0.31,"20171014","TOT",1,"TOTvBOU20171014","away",0,0,0,0,0,Inf,2.33333333333333,Inf
"X173","WAT",2,0,11,3,5,1,1,31,2,383,1,8,1,0,0.51,"20171014","ARS",1,"WATvARS20171014","home",1,3,0.181818181818182,0.666666666666667,2,191.5,8,Inf
